HTS Number,Indent,Description
8708.99.23,4,Other
8708.99,3,Parts of other tractors (except road tractors)
8708.99.27,4,Vibration control goods containing rubber
8708.99.31,4,Double flanged wheel hub units incorporating ball bearings
8708.99.41,4,Other parts for power trains
8708.99.48,4,Other
8708.99.48.10,5,Tracklinks for track-laying tractors
8708.99.48.50,5,Other
8708.99,3,Other
8708.99.53,4,Of cast-iron
8708.99.53,4,Other
8708.99.55,5,Vibration control goods containing rubber
8708.99.58,5,Double flanged wheel hub units incorporating ball bearings
8708.99.58,5,Other
8708.99.68,6,Other parts for power trains
8708.99.68.05,7,Drive shafts
8708.99.68.10,7,Forged universal joints for vehicles of heading 8703
8708.99.68.20,7,Forged universal joints for vehicles of heading 8704
8708.99.68.90,7,Other
8708.99.81,6,Other
8708.99.81.05,7,Brake hoses of plastics &&  with attached fittings
8708.99.81.15,7,Double flanged wheel hub units not incorporating ball bearings
8708.99.81.30,7,Slide-in campers
8708.99.81.60,7,Cable traction devices
8708.99.81.80,7,Other
8709,0,Works trucks &&  self-propelled &&  not fitted with lifting or handling equipment &&  of the type used in factories &&  warehouses &&  dock areas or airports for short distance transport of goods; tractors of the type used on railway station platforms; parts of the foregoing vehicles
8709,1,Vehicles
8709.11,2,Electrical
8709.11.00.30,3,Operator riding
8709.11.00.60,3,Other
8709.19,2,Other
8709.19.00.30,3,Operator riding
8709.19.00.60,3,Other
8709.90,1,Parts
8709.90.00.10,2,Road wheels
8709.90.00.20,2,Wheel && tire assemblies
8709.90.00.90,2,Other
8710,0,Tanks && other armored fighting vehicles &&  motorized &&  whether or not fitted with weapons &&  && parts of such vehicles
8710,1,Vehicles
8710.00.00.30,2,Tracked (including half-tracked)
8710.00.00.60,2,Other
8710.00.00.90,1,Parts
8711,0,Motorcycles (including mopeds) && cycles fitted with an auxiliary motor &&  with or without side-cars; side-cars
8711.10,1,With reciprocating internal combustion piston engine of a cylinder capacity not exceeding <il>50 cc</il>
8711.20,1,With reciprocating internal combustion piston engine of a cylinder capacity exceeding <il>50 cc</il> but not exceeding <il>250 cc</il>
8711.20.00.30,2,Exceeding <il>50 cc</il> but not exceeding <il>90 cc</il>
8711.20.00.60,2,Exceeding <il>90 cc</il> but not exceeding <il>190 cc</il>
8711.20.00.90,2,Exceeding <il>190 cc</il> but not exceeding <il>250 cc</il>
8711.30,1,With reciprocating internal combustion piston engine of a cylinder capacity exceeding <il>250 cc</il> but not exceeding <il>500 cc</il>
8711.30.00.30,2,Exceeding <il>250 cc</il> but not exceeding <il>290 cc</il>
8711.30.00.60,2,Exceeding <il>290 cc</il> but not exceeding <il>490 cc</il>
8711.30.00.90,2,Exceeding <il>490 cc</il> but not exceeding <il>500 cc</il>
8711.40,1,With reciprocating internal combustion piston engine of a cylinder capacity exceeding <il>500 cc</il> but not exceeding <il>800 cc</il>
8711.40.30,2,Exceeding <il>500 cc</il> but not exceeding <il>700 cc</il>
8711.40.60,2,Exceeding <il>700 cc</il> but not exceeding <il>800 cc</il>
8711.40.60.30,3,Exceeding <il>700 cc</il> but not exceeding <il>790 cc</il>
8711.40.60.60,3,Exceeding <il>790 cc</il> but not exceeding <il>800 cc</il>
8711.50,1,With reciprocating internal combustion piston engine of a cylinder capacity exceeding <il>800 cc</il>
8711.50.00.30,2,Exceeding <il>800 cc</il> but not exceeding <il>970 cc</il>
8711.50.00.60,2,Exceeding <il>970 cc</il>
8711.60,1,With electric motor for propulsion
8711.60.00.50,2,Of an output not exceeding 250 W
8711.60.00.90,2,Other
8711.90.01,1,Other
8712,0,Bicycles && other cycles (including delivery tricycles) &&  not motorized
8712.00.15,1,Bicycles having both wheels not exceeding <il>63.5 cm</il> in diameter
8712.00.15.10,2,Having both wheels not exceeding <il>50 cm</il> in diameter
8712.00.15.20,2,Having both wheels exceeding <il>50 cm</il> but not exceeding <il>55 cm</il> in diameter
8712.00.15.50,2,Having both wheels exceeding <il>55 cm</il> but not exceeding <il>63.5 cm</il> in diameter
8712.00.15,1,Bicycles having both wheels exceeding <il>63.5 cm</il> in diameter
8712.00.25,2,If weighing less than <il>16.3 kg</il> complete without accessories && not designed for use with tires having a cross-sectional diameter exceeding <il>4.13 cm</il>
8712.00.35,2,Other
8712.00.44,1,Bicycles having a front wheel exceeding <il>55 cm</il> but not exceeding <il>63.5 cm</il> in diameter && a rear wheel exceeding <il>63.5 cm</il> in diameter &&  weighing less than <il>16.3 kg</il> complete without accessories && not designed for use with tires having a cross-sectional diameter exceeding <il>4.13 cm</il> &&  valued $200 or more each
8712.00.48,1,Other bicycles
8712.00.50,1,Other cycles
8713,0,Carriages for disabled persons &&  whether or not motorized or otherwise mechanically propelled
8713.10,1,Not mechanically propelled
8713.90,1,Other
8713.90.00.30,2,Three-wheeled
8713.90.00.60,2,Other
8714,0,Parts && accessories of vehicles of headings 8711 to 8713
8714.10,1,Of motorcycles (including mopeds)
8714.10.00.10,2,Saddles && seats
8714.10.00.20,2,Wheels
8714.10.00.50,2,Other
8714.20,1,Of carriages for disabled persons
8714.20,1,Other
8714.91,2,Frames && forks &&  && parts thereof
8714.91,3,Frames
8714.91.20,4,Valued over $600 each
8714.91.30,4,Other
8714.91.50,3,Sets of steel tubing cut to exact length && each set having the number of tubes needed for the assembly (with other parts) into the frame && fork of one bicycle
8714.91.90,3,Other
8714.92,2,Wheel rims && spokes
8714.92.10,3,Wheel rims
8714.92.50,3,Spokes
8714.93,2,Hubs &&  other than coaster braking hubs && hub brakes &&  && free-wheel sprocket-wheels
8714.93,3,Hubs
8714.93.05,4,Aluminum alloy hubs with a hollow axle && lever-operated quick release mechanism
8714.93.05,4,Other
8714.93.15,5,Three speed
8714.93.15,5,Variable speed (except three speed) with internal gear changing mechanisms
8714.93.24,6,Two speed
8714.93.28,6,Other
8714.93.35,5,Other
8714.93.70,3,Free-wheel sprocket-wheels
8714.93.70.30,4,Multiple free-wheel sprockets
8714.93.70.60,4,Other
8714.94,2,Brakes &&  including coaster braking hubs && hub brakes &&  && parts thereof
8714.94.30,3,Drum brakes &&  caliper && cantilever bicycle brakes &&  && coaster brakes; parts thereof (including cable or inner wire therefor &&  fitted with fittings)
8714.94.30.20,4,Caliper && cantilever bicycle brakes
8714.94.30.20,4,Coaster brakes
8714.94.30.40,5,Designed for single-speed bicycles
8714.94.30.40,5,Other
8714.94.30.50,6,Designed for three-speed bicycles
8714.94.30.60,6,Other
8714.94.30.80,4,Other
8714.94.90,3,Other
8714.95,2,Saddles
8714.96,2,Pedals && crank-gear &&  && parts thereof
8714.96.10,3,Pedals && parts thereof
8714.96.50,3,Cotterless-type crank sets && parts thereof
8714.96.90,3,Other crank-gear && parts thereof
8714.99,2,Other
8714.99.10,3,Click twist grips && click stick levers
8714.99.50,3,Derailleurs && parts thereof
8714.99.60,3,Trigger && twist grip controls for three speed hubs &&  && parts thereof; bicycle handlebar stems wholly of aluminum alloy (including their hardware of any material) &&  valued over $2.15 each; && bicycle handlebar stem rotor assemblies
8714.99.80,3,Other
8715,0,Baby carriages (including strollers) && parts thereof
8715.00.00.20,1,Baby carriages (including strollers)
8715.00.00.40,1,Parts
8716,0,Trailers && semi-trailers; other vehicles &&  not mechanically propelled; && parts thereof
8716.10,1,Trailers && semi-trailers for housing or camping
8716.10.00.30,2,Less than 10.6 m in length
8716.10.00.75,2,10.6 m or more in length
8716.20,1,Self-loading or self-unloading trailers && semi-trailers for agricultural purposes
8716.20,1,Other trailers && semi-trailers for the transport of goods
8716.31,2,Tanker trailers && tanker semi-trailers
8716.39,2,Other
8716.39.00.10,3,Agricultural
8716.39.00.20,3,For use with the vehicles of heading 8709
8716.39.00.20,3,Other
8716.39.00.30,4,For use with the vehicles of heading 8703
8716.39.00.30,4,Other
8716.39.00.40,5,Van type
8716.39.00.50,5,Platform type
8716.39.00.90,5,Other
8716.40,1,Other trailers && semi-trailers
8716.80,1,Other vehicles
8716.80.10,2,Farm wagons && carts
8716.80.50,2,Other
8716.80.50.10,3,Industrial hand trucks
8716.80.50.10,3,Other
8716.80.50.20,4,Portable luggage carts
8716.80.50.90,4,Other
8716.90,1,Parts
8716.90.10,2,Parts of farm wagons && carts
8716.90.10.10,3,Road wheels
8716.90.10.20,3,Wheel && tire assemblies
8716.90.10.90,3,Other
8716.90.30,2,Castors &&  other than those of heading 8302
8716.90.50,2,Other
8716.90.50.10,3,Axles && parts thereof
8716.90.50.10,3,Wheels
8716.90.50.35,4,Steel wheels measuring 30 to <il>42 cm</il> in diameter &&  whether or not assembled
8716.90.50.35,4,Other
8716.90.50.45,5,Wheels
8716.90.50.45,5,Wheels with tires
8716.90.50.56,6,Wheels with tires for off-the-highway use
8716.90.50.59,6,Wheels with other tires
8716.90.50.60,3,Other
8801,0,Balloons && dirigibles; gliders &&  hang gliders && other non-powered aircraft
8801,1,Gliders && hang gliders
8801.00.00.10,2,Hang gliders
8801.00.00.20,2,Gliders
8801.00.00.50,1,Other
8802,0,Other aircraft (for example &&  helicopters &&  airplanes); spacecraft (including satellites) && suborbital && spacecraft launch vehicles
8802,1,Helicopters
8802.11,2,Of an unladen weight not exceeding 2 && 000 kg
8802.11,3,New
8802.11.00.15,4,Military
8802.11.00.15,4,Other
8802.11.00.30,5,Of an unladen weight not exceeding 998 kg
8802.11.00.45,5,Of an unladen weight exceeding 998 but not exceeding 2 && 000 kg
8802.11,3,Used or rebuilt
8802.11.00.60,4,Military
8802.11.00.90,4,Other
8802.12,2,Of an unladen weight exceeding 2 && 000 kg
8802.12,3,New
8802.12.00.20,4,Military
8802.12.00.40,4,Other
8802.12,3,Used or rebuilt
8802.12.00.60,4,Military
8802.12.00.80,4,Other
8802.20,1,Airplanes && other aircraft &&  of an unladen weight not exceeding 2 && 000 kg
8802.20.00.15,2,Of an unladen weight not exceeding 450 kg
8802.20.00.15,2,Other
8802.20.00.15,3,New
8802.20.00.15,4,Military aircraft
8802.20.00.20,5,Airplanes
8802.20.00.30,5,Other aircraft
8802.20.00.15,4,Other
8802.20.00.40,5,Single engine airplanes
8802.20.00.50,5,Multiple engine airplanes
8802.20.00.60,5,Other aircraft
8802.20.00.15,3,Used or rebuilt
8802.20.00.70,4,Military aircraft
8802.20.00.80,4,Other aircraft
8802.30,1,Airplanes && other aircraft &&  of an unladen weight exceeding 2 && 000 kg but not exceeding 15 && 000 kg
8802.30,2,New
8802.30,3,Military aircraft
8802.30.00.10,4,Fighters
8802.30.00.20,4,Other
8802.30,3,Other
8802.30,4,Multiple engine airplanes
8802.30.00.30,5,Of an unladen weight exceeding 2 && 000 but not exceeding 4 && 536 kg
8802.30.00.30,5,Of an unladen weight exceeding 4 && 536 but not exceeding 15 && 000 kg
8802.30.00.40,6,Turbofan powered
8802.30.00.50,6,Other
8802.30.00.60,4,Other
8802.30,2,Used or rebuilt
8802.30.00.70,3,Military aircraft
8802.30.00.80,3,Other aircraft
8802.40,1,Airplanes && other aircraft &&  of an unladen weight exceeding 15 && 000 kg
8802.40,2,New
8802.40,3,Military aircraft
8802.40.00.15,4,Fighters
8802.40.00.20,4,Cargo transports
8802.40.00.30,4,Other
8802.40,3,Other
8802.40.00.40,4,Passenger transports
8802.40.00.60,4,Cargo transports
8802.40.00.70,4,Other (including passenger/cargo combinations)
8802.40,2,Used or rebuilt
8802.40.00.80,3,Military aircraft
8802.40.00.90,3,Other aircraft
8802.60,1,Spacecraft (including satellites) && suborbital && spacecraft launch vehicles
8802.60.30,2,Communications satellites
8802.60.90,2,Other
8802.60.90.20,3,Military
8802.60.90.40,3,Other
8803,0,Parts of goods of heading 8801 or 8802
8803.10,1,Propellers && rotors && parts thereof
8803.10,2,For use in civil aircraft
8803.10.00.15,3,For use by the Department of Defense or the United States Coast Guard
8803.10.00.30,3,Other
8803.10.00.60,2,Other
8803.20,1,Undercarriages && parts thereof
8803.20,2,For use in civil aircraft
8803.20.00.15,3,For use by the Department of Defense or the United States Coast Guard
8803.20.00.30,3,Other
8803.20.00.60,2,Other
8803.30,1,Other parts of airplanes or helicopters
8803.30,2,For use in civil aircraft
8803.30.00.15,3,For use by the Department of Defense or the United States Coast Guard
8803.30.00.30,3,Other
8803.30.00.60,2,Other
8803.90,1,Other
8803.90.30,2,Parts of communications satellites
8803.90.90,2,Other
8803.90.90,3,For use in civil aircraft
8803.90.90.15,4,For use by the Department of Defense or the United States Coast Guard
8803.90.90.30,4,Other
8803.90.90.60,3,Other
8804,0,Parachutes (including dirigible parachutes && paragliders) && rotochutes; parts thereof && accessories thereto
8805,0,Aircraft launching gear; deck-arrestor or similar gear; ground flying trainers; parts of the foregoing articles
8805.10,1,Aircraft launching gear && parts thereof; deck- arrestors or similar gear && parts thereof
8805.10,1,Ground flying trainers && parts thereof
8805.21,2,Air combat simulators && parts thereof
8805.29,2,Other
8901,0,Cruise ships &&  excursion boats &&  ferry boats &&  cargo ships &&  barges && similar vessels for the transport of persons or goods
8901.10,1,Cruise ships &&  excursion boats && similar vessels principally designed for the transport of persons; ferry boats of all kinds
8901.20,1,Tankers
8901.30,1,Refrigerated vessels &&  other than those of subheading 8901.20
8901.90,1,Other vessels for the transport of goods && other vessels for the transport of both persons && goods
8902,0,Fishing vessels; factory ships && other vessels for processing or preserving fishery products
8903,0,Yachts && other vessels for pleasure or sports; row boats && canoes
8903.10,1,Inflatable
8903.10,2,Valued over $500
8903.10.00.15,3,With attached rigid hull
8903.10.00.45,3,Other
8903.10.00.60,2,Other
8903.10,1,Other
8903.91,2,Sailboats &&  with or without auxiliary motor
8903.91,3,With auxiliary motor
8903.91.00.25,4,Not exceeding 9.2 m in length
8903.91.00.35,4,Exceeding 9.2 m in length
8903.91,3,Other
8903.91.00.45,4,Not exceeding 4 m in length
8903.91.00.60,4,Exceeding 4 but not exceeding 6.5 m in length
8903.91.00.75,4,Exceeding 6.5 m but not exceeding 9.2 m in length
8903.91.00.85,4,Exceeding 9.2 m in length
8903.92,2,Motorboats &&  other than outboard motorboats
8903.92,3,Inboard/outdrive
8903.92.00.15,4,Not exceeding 6.5 m in length
8903.92.00.15,4,Exceeding 6.5 m in length
8903.92.00.30,5,Cabin cruisers
8903.92.00.35,5,Other
8903.92,3,Other
8903.92.00.50,4,Not exceeding 8 m in length
8903.92.00.50,4,Exceeding 8 m in length
8903.92.00.65,5,Cabin cruisers
8903.92.00.70,5,Other
8903.99,2,Other
8903.99,3,Row boats && canoes which are not of a type designed to be principally used with motors or sails
8903.99.05,4,Canoes
8903.99.15,4,Other
8903.99.20,3,Outboard motorboats
8903.99.20,4,With hulls of metal
8903.99.20.15,5,Not exceeding 5 m in length
8903.99.20.30,5,Exceeding 5 m in length
8903.99.20,4,With hulls of reinforced plastics
8903.99.20.45,5,Not exceeding 5 m in length
8903.99.20.60,5,Exceeding 5 m in length
8903.99.20.75,4,Other
8903.99.90,3,Other
8904,0,Tugs && pusher craft
8905,0,Light-vessels &&  fire-floats &&  dredgers &&  floating cranes &&  && other vessels the navigability of which is subsidiary to their main function; floating docks; floating or submersible drilling or production platforms
8905.10,1,Dredgers
8905.20,1,Floating or submersible drilling or production platforms
8905.90,1,Other
8905.90.10,2,Floating docks
8905.90.50,2,Other
8906,0,Other vessels &&  including warships && lifeboats other than row boats
8906.10,1,Warships
8906.90,1,Other
8906.90.00.10,2,Hulls
8906.90.00.90,2,Other
8907,0,Other floating structures (for example &&  rafts &&  tanks &&  cofferdams &&  landing-stages &&  buoys && beacons)
8907.10,1,Inflatable rafts
8907.90,1,Other
8907.90.00.30,2,Buoys
8907.90.00.60,2,Tanks
8907.90.00.90,2,Other
8908,0,Vessels && other floating structures for breaking up (scrapping)
9001,0,Optical fibers && optical fiber bundles; optical fiber cables other than those of heading 8544; sheets && plates of polarizing material; lenses (including contact lenses) &&  prisms &&  mirrors && other optical elements &&  of any material &&  unmounted &&  other than such elements of glass not optically worked
9001.10,1,Optical fibers &&  optical fiber bundles && cables
9001.10,2,Optical fibers
9001.10.00.30,3,For transmission of voice &&  data or video communications
9001.10.00.30,3,Other
9001.10.00.50,4,Plastic optical fibers
9001.10.00.70,4,Other
9001.10,2,Optical fiber bundles && cables
9001.10.00.75,3,Plastic optical fiber bundles && cables
9001.10.00.85,3,Other
9001.20,1,Sheets && plates of polarizing material
9001.30,1,Contact lenses
9001.40,1,Spectacle lenses of glass
9001.50,1,Spectacle lenses of other materials
9001.90,1,Other
9001.90.40,2,Lenses
9001.90.50,2,Prisms
9001.90.60,2,Mirrors
9001.90.60,2,Other
9001.90.80,3,Halftone screens designed for use in engraving or photographic processes
9001.90.90,3,Other
9002,0,Lenses &&  prisms &&  mirrors && other optical elements &&  of any material &&  mounted &&  being parts of or fittings for instruments or apparatus &&  other than such elements of glass not optically worked; parts && accessories thereof
9002,1,Objective lenses && parts && accessories thereof
9002.11,2,For cameras &&  projectors or photographic enlargers or reducers
9002.11.40,3,Projection
9002.11.40,3,Other
9002.11.60,4,Mounted lenses suitable for use in &&  && entered separately from &&  closed-circuit television cameras &&  with or without attached electrical or non-electrical closed-circuit television camera connectors &&  && with or without attached motors
9002.11.90,4,Other
9002.19,2,Other
9002.20,1,Filters && parts && accessories thereof
9002.20.40,2,Photographic
9002.20.80,2,Other
9002.90,1,Other
9002.90.20,2,Prisms
9002.90.40,2,Mirrors
9002.90.40,2,Other
9002.90.70,3,Halftone screens designed for use in engraving or photographic processes
9002.90.85,3,Mounted lenses suitable for use in &&  && entered separately from &&  closed-circuit television cameras &&  with or without attached electrical or non-electrical closed-circuit television camera connectors &&  && with or without attached motors
9002.90.95,3,Other
9003,0,Frames && mountings for spectacles &&  goggles or the like &&  && parts thereof
9003,1,Frames && mountings
9003.11,2,Of plastics
9003.19,2,Of other materials
9003.90,1,Parts
9004,0,Spectacles &&  goggles && the like &&  corrective &&  protective or other
9004.10,1,Sunglasses
9004.90,1,Other
9005,0,Binoculars &&  monoculars &&  other optical telescopes &&  && mountings therefor; other astronomical instruments && mountings therefor &&  but not including instruments for radio-astronomy; parts && accessories thereof
9005.10,1,Binoculars
9005.10.00.20,2,Prism binoculars for use with infrared light
9005.10.00.40,2,Other prism binoculars
9005.10.00.80,2,Other
9005.80,1,Other instruments
9005.80.40,2,Optical telescopes
9005.80.40.20,3,For use with infrared light
9005.80.40.40,3,Other
9005.80.60,2,Other
9005.90,1,Parts && accessories (including mountings)
9005.90.40,2,Incorporating goods of heading 9001 or 9002
9005.90.80.01,2,Other
9006,0,Photographic (other than cinematographic) cameras; photographic flashlight apparatus && flashbulbs other than discharge lamps of heading 8539; parts && accessories thereof
9006.30,1,Cameras specially designed for underwater use &&  for aerial survey &&  or for medical or surgical examination of internal organs; comparison cameras for forensic or criminological purposes
9006.40,1,Instant print cameras
9006.40.40,2,Fixed focus
9006.40.40,2,Other than fixed focus
9006.40.60,3,Valued not over $10 each
9006.40.90,3,Valued over $10 each
9006.40,1,Other cameras
9006.51,2,With through-the-lens viewfinder (single lens reflex (SLR)) &&  for roll film of a width not exceeding 35 mm
9006.51.00.40,3,For roll film of a width of 35 mm
9006.51.00.40,3,Other
9006.51.00.60,4,For magnetically sensitized roll film of a width of 24 mm
9006.51.00.90,4,Other
9006.52,2,Other &&  for roll film of a width less than 35 mm
9006.52,3,Fixed focus
9006.52,4,Hand held
9006.52.10,5,110 cameras
9006.52.10.20,6,With built-in electronic stroboscopic flash
9006.52.10.40,6,Other
9006.52.30,5,Other
9006.52.50,4,Other
9006.52,3,Other than fixed focus
9006.52.60,4,Valued not over $10 each
9006.52.91,4,Valued over $10 each
9006.52.91,5,Hand-held type
9006.52.91,6,110 cameras
9006.52.91.20,7,With built-in electronic stroboscopic flash
9006.52.91.40,7,Other
9006.52.91.60,6,Other
9006.52.91.80,5,Other
9006.53.01,2,Other &&  for roll film of a width of 35 mm
9006.53.01,3,One time use cameras
9006.53.01.10,4,With built-in electronic stroboscopic flash
9006.53.01.20,4,Other
9006.53.01,3,Other
9006.53.01.50,4,With built-in electronic stroboscopic flash
9006.53.01.70,4,Other
9006.59,2,Other
9006.59.20,3,Cameras of a kind used for preparing printing plates or cylinders
9006.59.40,3,Fixed focus
9006.59.40.40,4,Disc cameras
9006.59.40.60,4,Other
9006.59.40,3,Other than fixed focus
9006.59.60,4,Valued not over $10 each
9006.59.91,4,Valued over $10 each
9006.40,1,Photographic flashlight apparatus && flashbulbs
9006.61,2,"Discharge lamp (""electronic"") flashlight apparatus"
9006.61,3,Capable of camera mounting
9006.61.00.20,4,Capable of automatically controlling flash duration
9006.61.00.40,4,Other
9006.61.00.60,3,Other
9006.69.01,2,Other
9006.69.01.10,3,Flashbulbs &&  flashcubes && the like
9006.69.01.50,3,Other
9006.40,1,Parts && accessories
9006.91.00.01,2,For cameras
9006.99,2,Other
9007,0,Cinematographic cameras && projectors &&  whether or not incorporating sound recording or reproducing apparatus; parts && accessories thereof
9007.10,1,Cameras
9007.20,1,Projectors
9007.20,2,For film of less than 16 mm
9007.20.20,3,With sound recording && reproducing systems; && those capable of projecting only sound motion pictures
9007.20.40,3,Other
9007.20,2,Other
9007.20.60,3,With sound recording && reproducing systems; && those capable of projecting only sound motion pictures
9007.20.60.40,4,16 mm
9007.20.60.80,4,Other
9007.20.80,3,Other
9007.20,1,Parts && accessories
9007.91,2,For cameras
9007.91.40,3,Parts
9007.91.80.01,3,Other
9007.92,2,For projectors
9008,0,Image projectors &&  other than cinematographic; photographic (other than cinematographic) enlargers && reducers; parts && accessories thereof
9008.50,1,Projectors &&  enlargers && reducers
9008.50.10,2,Slide projectors
9008.50.10,2,Microfilm &&  microfiche or other microform readers &&  whether or not capable of producing copies
9008.50.20,3,Capable of producing copies
9008.50.30,3,Other
9008.50.40,2,Other image projectors
9008.50.50,2,Photographic (other than cinematographic) enlargers && reducers
9008.90,1,Parts && accessories
9008.90.40,2,Of image projectors &&  other than cinematographic
9008.90.80,2,Other
9010,0,Apparatus && equipment for photographic (including cinematographic) laboratories &&  not specified or included elsewhere in this chapter; negatoscopes; projection screens; parts && accessories thereof
9010.10,1,Apparatus && equipment for automatically developing photographic (including cinematographic) film or paper in rolls or for automatically exposing developed film to rolls of photographic paper
9010.50,1,Other apparatus && equipment for photographic (including cinematographic) laboratories; negatoscopes
9010.50.10,2,Contact printers
9010.50.20,2,Developing tanks
9010.50.20,2,Photographic film viewers &&  titlers &&  splicers && editors &&  all the foregoing && combinations thereof
9010.50.20,3,Articles containing an optical lens or designed to contain such a lens
9010.50.30,4,Editors && combination editor-splicers &&  for cinematographic film
9010.50.40,4,Other
9010.50.50,3,Other
9010.50.60,2,Other
9010.60,1,Projection screens
9010.90,1,Parts && accessories
9010.90.85,2,Parts && accessories of articles of subheadings 9010.50 && 9010.60
9010.90.95,2,Other
9011,0,Compound optical microscopes &&  including those for photomicrography &&  cinemicrography or microprojection; parts && accessories thereof
9011.10,1,Stereoscopic microscopes
9011.10.40,2,Provided with a means for photographing the image
9011.10.80,2,Other
9011.20,1,Other microscopes &&  for photomicrography &&  cinemicrography or microprojection
9011.20.40,2,Provided with a means for photographing the image
9011.20.80,2,Other
9011.80,1,Other microscopes
9011.90,1,Parts && accessories
9012,0,Microscopes other than optical microscopes; diffraction apparatus; parts && accessories thereof
9012.10,1,Microscopes other than optical microscopes; diffraction apparatus
9012.90,1,Parts && accessories
9013,0,Liquid crystal devices not constituting articles provided for more specifically in other headings; lasers &&  other than laser diodes; other optical appliances && instruments &&  not specified or included elsewhere in this chapter; parts && accessories thereof
9013.10,1,Telescopic sights for fitting to arms; periscopes; telescopes designed to form parts of machines &&  appliances &&  instruments or apparatus of this chapter or section XVI
9013.10,2,Telescopic sights for rifles
9013.10.10,3,Not designed for use with infrared light
9013.10.30,3,Other
9013.10,2,Other
9013.10.45,3,Telescopes designed to form parts of machines &&  appliances &&  instruments or apparatus of this chapter of section XVI
9013.10.50,3,Other
9013.20,1,Lasers &&  other than laser diodes
9013.80,1,Other devices &&  appliances && instruments
9013.80.20,2,Hand magnifiers &&  magnifying glasses &&  loupes &&  thread counters && similar apparatus
9013.80.40,2,Door viewers (door eyes)
9013.80.70,2,Flat panel displays other than for articles of heading 8528 &&  except subheadings 8528.52 or 8528.62
9013.80.90,2,Other
9013.90,1,Parts && accessories
9013.90.20,2,Of telescopic sights for rifles
9013.90.50,2,Of flat panel displays other than for articles of heading 8528 &&  except subheadings 8528.52 or 8528.62
9013.90.50,2,Other
9013.90.70,3,Other parts && accessories &&  other than for telescopic sights for fitting to arms or for periscopes
9013.90.80,3,Other
9014,0,Direction finding compasses; other navigational instruments && appliances; parts && accessories thereof
9014.10,1,Direction finding compasses
9014.10.10,2,Optical instruments
9014.10.10,2,Other
9014.10.60,3,Gyroscopic compasses &&  other than electrical
9014.10.60,3,Other
9014.10.70,4,Electrical
9014.10.70.30,5,Gyroscopic compasses
9014.10.70.60,5,Other
9014.10.90,4,Other
9014.20,1,Instruments && appliances for aeronautical or space navigation (other than compasses)
9014.20.20,2,Optical instruments && appliances
9014.20.20,2,Other
9014.20.40,3,Automatic pilots
9014.20.40,3,Other
9014.20.60,4,Electrical
9014.20.80,4,Other
9014.20.80.40,5,For use in civil aircraft
9014.20.80.80,5,Other
9014.80,1,Other instruments && appliances
9014.80.10,2,Optical instruments
9014.80.10,2,Other
9014.80.20,3,Ships' logs && depth-sounding apparatus
9014.80.20,3,Other
9014.80.40,4,Electrical
9014.80.50,4,Other
9014.90,1,Parts && accessories
9014.90.10,2,Of articles covered by subheading 9014.20.40
9014.90.20,2,Of articles covered by subheading 9014.20.80
9014.90.20.40,3,For use in civil aircraft
9014.90.20.80,3,Other
9014.90.40,2,Of articles covered by subheading 9014.80.50
9014.90.60,2,Other
9015,0,Surveying (including photogrammetrical surveying) &&  hydrographic &&  oceanographic &&  hydrological &&  meteorological or geophysical instruments && appliances &&  excluding compasses; rangefinders; parts && accessories thereof
9015.10,1,Rangefinders
9015.10.40,2,Electrical
9015.10.80,2,Other
9015.20,1,Theodolites && tachymeters (tacheometers)
9015.20.40,2,Electrical
9015.20.80,2,Other
9015.30,1,Levels
9015.30.40,2,Electrical
9015.30.80,2,Other
9015.40,1,Photogrammetrical surveying instruments && appliances
9015.40.40,2,Electrical
9015.40.80,2,Other
9015.80,1,Other instruments && appliances
9015.80.20,2,Optical instruments && appliances
9015.80.20,2,Other
9015.80.60,3,Seismographs
9015.80.80,3,Other
9015.80.80.40,4,Geophysical instruments && appliances
9015.80.80.80,4,Other
9015.90.01,1,Parts && accessories
9015.90.01.10,2,Of rangefinders
9015.90.01.20,2,Of theodolites && tachymeters
9015.90.01.30,2,Of levels
9015.90.01.40,2,Of photogrammetrical surveying instruments && apparatus
9015.90.01.50,2,Of seismographs
9015.90.01.60,2,Of other geophysical instruments && appliances
9015.90.01.90,2,Other
9016,0,Balances of a sensitivity of 5 cg or better &&  with or without weights; parts && accessories thereof
9016.00.20,1,Electrical balances && parts && accessories thereof
9016.00.20,1,Other
9016.00.40,2,Jewelers' balances && parts && accessories thereof
9016.00.60,2,Other
9017,0,Drawing &&  marking-out or mathematical calculating instruments (for example &&  drafting machines &&  pantographs &&  protractors &&  drawing sets &&  slide rules &&  disc calculators); instruments for measuring length &&  for use in the hand (for example &&  measuring rods && tapes &&  micrometers &&  calipers) &&  not specified or included elsewhere in this chapter; parts && accessories thereof
9017.10,1,Drafting tables && machines &&  whether or not automatic
9017.10.40,2,Plotters
9017.10.80,2,Other
9017.20,1,Other drawing &&  marking-out or mathematical calculating instruments
9017.20.40,2,Disc calculators &&  slide rules && other mathematical calculating instruments
9017.20.70,2,Plotters
9017.20.80,2,Other
9017.20.80.40,3,Hand operated input devices which transmit position data to computer processors or displays (digitizers)
9017.20.80.80,3,Other
9017.30,1,Micrometers &&  calipers && gauges
9017.30.40,2,Micrometers && calipers
9017.30.80,2,Other
9017.80,1,Other instruments
9017.90.01,1,Parts && accessories
